"Tingle, Tim",Title,Call_Number,Cumu_Circ,Last_Circ_Date,Weed,Date,weed_for_condition,Author_Cultural_Identity,BH_Source_Note_Score,Tier_Score,Country,Region,Source,Award,Fiction_NonFiction,Explore
"Engelbreit, Mary",5-minute Mary Engelbreit fairy tales.,E 398.2 EN32F,29,7/24/2023,,2018,,,,,European,Europe,,,NonFiction,
"Forest, Heather",The contest between the Sun and the Wind : an Aesop's fable /,E 398.2 F761C,34,3/17/2022,,2008,,,,,European,Europe,Aesop,,NonFiction,
"Scarry, Richard.",Richard Scarry's best nursery tales ever.,E 398.2 Sca77b 2014,23,7/19/2023,,2014,,,,,European,Europe,,,NonFiction,
"Shaw, Stephanie",The legend of the beaver's tail /,E 398.2089 OJ3SH,14,10/26/2021,,2015,,,2,2,Native American,North America,,,NonFiction,1
"Berry, Holly",Told and retold : around the world with Aesop's fables /,E 398.209 Ae88be 2022,3,9/11/2023,,2022,,,,,European,Europe,Aesop,,NonFiction,
"Berne, Emma Carlson, 1979-",A first look at dragons /,E 398.209 B457fd 2021,2,6/6/2023,,2021,,,,,European,Europe,,,NonFiction,
,Fairy tale favorites : 3 books in 1!.,E 398.209 F169,21,7/24/2023,,2015,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Mermaids /,E 398.209 G4467m 2020,21,7/14/2023,,2020,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Unicorns /,E 398.209 G4467u 2020,21,9/12/2022,,2020,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Werewolves /,E 398.209 G4467w 2020,27,6/24/2023,,2020,,,,,European,Europe,,,NonFiction,
"Grandi, Gina L.",The magic of unicorns : field guide to fabulous creatures /,E 398.209 G764m 2018,9,3/6/2023,,2018,,,,,European,Europe,,,NonFiction,
"Hoberman, Mary Ann","You read to me, I'll read to you : very short tall tales to read together /",E 398.209 H653yt 2014,43,12/16/2022,,2014,,,,,European,Europe,,,NonFiction,
"Hoffman, Mary, 1945-",A first book of fairy tales /,E 398.209 H675f 2001,11,7/25/2023,,2001,,,,,European,Europe,,,NonFiction,
"Hoffman, Mary, 1945-",A first book of fairy tales /,E 398.209 H675f 2001,3,4/24/2023,,2001,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Leprechauns /,E 398.20941 Ir2g 2020,3,3/31/2023,,2020,,,,,European,Europe,,,NonFiction,
"Fischer, Hans, 1909-1958",In fairyland : the finest of tales by the Brothers Grimm /,E 398.20943 G317fi 2018,5,6/15/2022,,2018,,,,,Germany,Europe,,,NonFiction,
"Wu, Faye-Lynn",Mulan : the legend of the woman warrior /,E 398.20951 C441w 2019,4,4/24/2023,,2019,,x,1,5,China,Asia,,,NonFiction,1
"MacDonald, Margaret Read, 1940-",The boy from the dragon palace : a folktale from Japan /,E 398.20952 J271MAB,26,10/26/2022,,2011,,,3,2,Japan,Asia,,,NonFiction,1
"Williams, Marcia, 1945-",The elephant's friend and other tales from ancient India /,E 398.20954 IN2WIE,17,11/3/2022,,2012,,,1,5,India,Asia,,,NonFiction,1
"Kheiriyeh, Rashin.",Two parrots /,E 398.20955 IR1KH,17,1/23/2023,,2014,,x,2,5,Iran,Middle East,,,NonFiction,1
"Tonatiuh, Duncan",The princess and the warrior : a tale of two volcanoes /,E 398.20972 M574top 2016,15,11/10/2021,,2016,,x,4,5,Mexico,Central America,,Belpre,NonFiction,1
"Gish, Melissa",Fairies /,E 398.21 G446f 2022,2,11/5/2022,,2022,,,,,European,Europe,,,NonFiction,
"Gish, Ashley",Vampires /,E 398.45 G4467v 2020,1,11/28/2022,,2020,,,,,European,Europe,,,NonFiction,
"Brown, Marc Tolon",Marc Brown's playtime rhymes : a treasury for families to learn and play together.,E 398.8 B814P,33,6/29/2022,,2013,,,,,American,North America,Mother Goose,,NonFiction,
"Caldecott, Randolph, 1846-1886",Randolph Caldecott's picture books /,E 398.8 C127P,38,12/6/2021,,2008,,,,,American,North America,,,NonFiction,
,Tomie dePaola's Mother Goose.,E 398.8 D44T,21,7/24/2023,,1985,,,,,American,North America,Mother Goose,,NonFiction,
"Elya, Susan Middleton, 1955-",La Madre Goose : nursery rhymes for los niños /,E 398.8 EL94M,15,3/8/2023,,2016,,x,,5,Mexico,Central America,Mother Goose,,NonFiction,1
"Hillenbrand, Will",Mother Goose picture puzzles /,E 398.8 H557m 2011,12,8/5/2023,,2011,,,,,European,Europe,Mother Goose,,NonFiction,
,"Honey for you, honey for me : a first book of nursery rhymes /",E 398.8 H757 2021,2,10/26/2021,,2021,,,,,American,Europe,,,NonFiction,
"Hout, Mies van","Twinkle, twinkle, little star /",E 398.8 H818T,37,5/25/2023,,2014,,,,,American,Europe,Mother Goose,,NonFiction,
,I see the moon /,E 398.8 I1be 2019,19,8/7/2023,,2019,,,,,?,,,,NonFiction,
"Kolar, Rachel",Mother Ghost : nursery rhymes for little monsters /,E 398.8 K83M,13,4/19/2023,,2018,,,,,American,Europe,Mother Goose,,NonFiction,
,My very first Mother Goose /,E 398.8 OP3M,16,8/14/2023,,2016,,,,,European,Europe,Mother Goose,,NonFiction,
,The real Mother Goose /,E 398.8 R229 1994,9,8/12/2023,,1994,,,,,European,Europe,Mother Goose,,NonFiction,
